obsECIx,obsECIy,obsECIz,jdHistory,obsRelx,obsRely,obsRelz,sunPosIx,sunPosIy,sunPosz
-5306279.694319541,-26841.24068573397,3538828.470584518,2458536.219389366,28978106.70211101,-24587388.65853233,3565608.276028654,131255366670.3194,-62633174647.00797,-27151458929.57204
-5306269.580829909,-28778.28856144007,3538828.412968856,2458536.219447236,28987065.74466749,-24576829.71943744,3565618.848725992,131255437819.5529,-62633052954.11476,-27151406173.17557
-5306258.760997303,-30715.34819899919,3538828.354059205,2458536.219505107,28996020.93786473,-24566267.5310167,3565629.416570363,131255508969.2326,-62632931260.16503,-27151353416.32113
-5306247.234901659,-32652.40376279061,3538828.293856034,2458536.219562977,29004972.28043546,-24555702.07909402,3565639.979560823,131255580118.7758,-62632809566.15687,-27151300659.44144
-5306235.002645724,-34589.4394173231,3538828.23235985,2458536.219620847,29013919.77108925,-24545133.34949519,3565650.537696471,131255651267.6102,-62632687873.06772,-27151247902.96024
-5306222.064034106,-36526.48609974398,3538828.169569671,2458536.219678718,29022863.40883464,-24534561.37481882,3565661.090974911,131255722416.8863,-62632566178.93069,-27151195146.02482
-5306208.419164579,-38463.52789722173,3538828.105485995,2458536.219736588,29031803.19238758,-24523986.14081392,3565671.639395233,131255793566.0238,-62632444484.7385,-27151142389.06556
-5306194.068157258,-40400.54897438549,3538828.040109369,2458536.219794458,29040739.12044231,-24513407.63330742,3565682.182956573,131255864714.4625,-62632322791.44815,-27151089632.49735
-5306179.010782331,-42337.58034546161,3538827.973438737,2458536.219852329,29049671.1920436,-24502825.88497628,3565692.721656466,131255935863.3369,-62632201097.12013,-27151036875.47935
-5306163.247155266,-44274.60605907813,3538827.905474639,2458536.219910199,29058599.40589153,-24492240.88153229,3565703.255494044,131256007012.0773,-62632079402.72859,-27150984118.43389
-5306146.777413482,-46211.61028000852,3538827.83621764,2458536.219968069,29067523.76066487,-24481652.60880379,3565713.784468464,131256078160.1114,-62631957709.25253,-27150931361.78538
-5306129.601293617,-48148.62398355012,3538827.76566664,2458536.22002594,29076444.25544372,-24471061.09943013,3565724.308577215,131256149308.5851,-62631836014.73209,-27150878604.68419
-5306111.718927879,-50085.63129577856,3538827.693822195,2458536.22008381,29085360.88891328,-24460466.33920181,3565734.82781945,131256220456.9248,-62631714320.14787,-27150825847.55541
-5306093.130318276,-52022.63199784351,3538827.620684317,2458536.22014168,29094273.65988951,-24449868.32956487,3565745.342193772,131256291604.5601,-62631592626.47581,-27150773090.82215
-5306073.835468013,-53959.62575493753,3538827.546253017,2458536.220199551,29103182.5671878,-24439267.07184983,3565755.851698785,131256362752.6309,-62631470931.76616,-27150720333.63914
-5306053.834379297,-55896.61234821333,3538827.470528304,2458536.220257421,29112087.60962516,-24428662.56750356,3565766.356333094,131256433900.569,-62631349236.99112,-27150667576.42786
-5306033.127224153,-57833.57594278618,3538827.393510812,2458536.220315292,29120988.78584934,-24418054.80235737,3565776.856095926,131256505047.8005,-62631227543.13171,-27150614819.61361
-5306011.713672278,-59770.54743599286,3538827.315199314,2458536.220373162,29129886.09501106,-24407443.8089752,3565787.35098465,131256576195.4765,-62631105848.21917,-27150562062.34286
-5305989.593889755,-61707.5110315436,3538827.23559443,2458536.220431033,29138779.53576528,-24396829.57322776,3565797.840998481,131256647343.0166,-62630984153.2464,-27150509305.04607
-5305966.768067284,-63644.45077878563,3538827.154696835,2458536.220488903,29147669.10674287,-24386212.08083193,3565808.326136689,131256718489.8475,-62630862459.19447,-27150456548.14856
-5305943.235839408,-65581.39769064332,3538827.072505231,2458536.220546773,29156554.8071316,-24375591.36446844,3565818.806396573,131256789637.1197,-62630740764.09455,-27150403790.7968
-5305918.997390446,-67518.33589370665,3538826.989020278,2458536.220604644,29165436.63556996,-24364967.40993221,3565829.281777392,131256860784.257,-62630619068.93261,-27150351033.41822
-5305894.052927056,-69455.24955350603,3538826.904242672,2458536.220662514,29174314.59067466,-24354340.20305767,3565839.752278437,131256931930.6901,-62630497374.68289,-27150298276.43518
-5305868.40205134,-71392.16956658079,3538826.818171059,2458536.220720384,29183188.67166776,-24343709.77641035,3565850.217896953,131257003077.5617,-62630375679.3903,-27150245519.00011
-5305842.044963951,-73329.08013704326,3538826.730806133,2458536.220778255,29192058.87717329,-24333076.11586398,3565860.678632232,131257074224.2984,-62630253984.03584,-27150192761.53829
-5305814.981889922,-75265.96535334666,3538826.642148618,2458536.220836125,29200925.20579148,-24322439.20717703,3565871.134483597,131257145370.3295,-62630132289.59531,-27150140004.47275
-5305787.212397045,-77202.85615023901,3538826.552197103,2458536.220893995,29209787.65678035,-24311799.08295484,3565881.585448237,131257216516.8012,-62630010594.10858,-27150087246.95373
-5305758.736703815,-79139.73669340299,3538826.460952308,2458536.220951866,29218646.22874784,-24301155.72903402,3565892.031525469,131257287663.1362,-62629888898.56325,-27150034489.40938
-5305729.555051542,-81076.59114885773,3538826.368414993,2458536.221009736,29227500.92027985,-24290509.13125178,3565902.472714657,131257358808.7637,-62629767203.93519,-27149981732.26276
-5305699.666974738,-83013.45041219937,3538826.274583683,2458536.221067606,29236351.7306696,-24279859.32217544,3565912.909012924,131257429954.8308,-62629645508.26261,-27149928974.66339
-5305669.072709219,-84950.29864936508,3538826.179459128,2458536.221125477,29245198.65850955,-24269206.28764313,3565923.340419623,131257501100.7689,-62629523812.51788,-27149876217.03281
-5305637.772513615,-86887.12002664339,3538826.083042123,2458536.221183347,29254041.70236999,-24258550.01349376,3565933.766934149,131257572245.9995,-62629402117.69051,-27149823459.8
-5305605.765888643,-88823.94543911004,3538825.985331127,2458536.221241218,29262880.86157974,-24247890.53229542,3565944.188553566,131257643391.6687,-62629280421.82038,-27149770702.1152
-5305573.05308744,-90760.75905296393,3538825.886326927,2458536.221299088,29271716.13471582,-24237227.82988775,3565954.605277261,131257714537.2001,-62629158725.8933,-27149717944.40579
-5305539.634385278,-92697.54507343704,3538825.786030343,2458536.221356958,29280547.52033371,-24226561.89214987,3565965.017104657,131257785682.029,-62629037030.87504,-27149665187.09044
-5305505.509250419,-94634.33431773586,3538825.684439782,2458536.221414829,29289375.01779652,-24215892.75157327,3565975.424032767,131257856827.2975,-62628915334.81216,-27149612429.3223
-5305470.677952657,-96571.11099100206,3538825.581556054,2458536.221472699,29298198.62566642,-24205220.39403783,3565985.826061002,131257927972.432,-62628793638.68582,-27149559671.52672
-5305435.140496621,-98507.87483576406,3538825.477379174,2458536.22153057,29307018.34277138,-24194544.82096123,3565996.223187985,131257999117.4336,-62628671942.49419,-27149506913.70291
-5305398.897181351,-100444.6100190196,3538825.371910009,2458536.22158844,29315834.16764554,-24183866.01818605,3566006.615413186,131258070261.7248,-62628550247.22477,-27149454156.27897
-5305361.947428718,-102381.3474344709,3538825.265146879,2458536.22164631,29324646.09970085,-24173184.01828197,3566017.00273353,131258141406.4586,-62628428550.90579,-27149401398.40009
-5305324.291532263,-104318.0712490131,3538825.157090635,2458536.221704181,29333454.13747818,-24162498.80709234,3566027.385148476,131258212551.0585,-62628306854.52327,-27149348640.49374
-5305285.929809121,-106254.7655913399,3538825.047742185,2458536.221762051,29342258.27949542,-24151810.37042269,3566037.762657537,131258283694.952,-62628185159.05613,-27149295882.9843
-5305246.861645052,-108191.4614704405,3538824.937099776,2458536.221819921,29351058.52520248,-24141118.74095925,3566048.135257567,131258354839.285,-62628063462.54464,-27149243125.02219
-5305207.087353233,-110128.1429375992,3538824.825164301,2458536.221877792,29359854.87312242,-24130423.90443102,3566058.502948067,131258425983.483,-62627941765.97128,-27149190367.03332
-5305166.607266572,-112064.7941991603,3538824.711936692,2458536.221935662,29368647.32175912,-24119725.84672257,3566068.865728577,131258497126.9758,-62627820070.31168,-27149137609.44066
-5305125.420739349,-114001.446147481,3538824.597415138,2458536.221993532,29377435.87059587,-24109024.60040469,3566079.223595894,131258568270.9099,-62627698373.60411,-27149084851.39376
-5305083.528099753,-115938.0829501434,3538824.481600565,2458536.222051403,29386220.5181426,-24098320.15132385,3566089.576549553,131258639414.7082,-62627576676.83647,-27149032093.32088
-5305040.929698777,-117874.6887752116,3538824.364493933,2458536.222109273,29395001.26288695,-24087612.4853276,3566099.924589123,131258710557.8001,-62627454980.98431,-27148979335.64497
-5304997.624856911,-119811.2945143224,3538824.246093374,2458536.222167144,29403778.10434756,-24076901.63498765,3566110.267711347,131258781701.3305,-62627333284.08943,-27148926577.51707
-5304953.613919659,-121747.8843354217,3538824.126399839,2458536.222225014,29412551.04101915,-24066187.58615177,3566120.605915786,131258852844.7281,-62627211587.12912,-27148873819.3609
-5304908.897255332,-123684.4424069729,3538824.005414326,2458536.222282884,29421320.07137393,-24055470.32466906,3566130.939202048,131258923987.4203,-62627089891.08273,-27148821061.60099
-5304863.474150634,-125620.9996198474,3538823.883134902,2458536.222340755,29430085.1949661,-24044749.88311187,3566141.267566811,131258995130.549,-62626968193.99689,-27148768303.39053
-5304817.344967456,-127557.5401810254,3538823.759562547,2458536.222398625,29438846.41027545,-24034026.24736877,3566151.591009669,131259066273.5477,-62626846496.84068,-27148715545.14964
-5304770.510093265,-129494.0481820924,3538823.634698296,2458536.222456495,29447603.71575727,-24023299.40321272,3566161.909530266,131259137415.838,-62626724800.60352,-27148662787.30724
-5304722.968780065,-131430.5545517646,3538823.508540152,2458536.222514366,29456357.11100235,-24012569.38325503,3566172.223125221,131259208558.5699,-62626603103.31832,-27148610029.01058
-5304674.721407992,-133367.0434587838,3538823.381089132,2458536.222572236,29465106.59447416,-24001836.17334723,3566182.531794162,131259279701.162,-62626481405.97971,-27148557270.69083
-5304625.768379987,-135303.4990724558,3538823.252346293,2458536.222630106,29473852.16461396,-23991099.75934182,3566192.835536761,131259350843.0487,-62626359709.55502,-27148504512.76736
-5304576.108915178,-137239.9522820204,3538823.12230958,2458536.222687977,29482593.82104745,-23980360.17381164,3566203.134349577,131259421985.3807,-62626238012.07564,-27148451754.38672
-5304525.743411021,-139176.3872566409,3538822.990980042,2458536.222745847,29491331.56222261,-23969617.40260988,3566213.428232273,131259493127.5759,-62626116314.53778,-27148398995.98081
-5304474.672287772,-141112.7881660755,3538822.85835877,2458536.222803717,29500065.38656522,-23958871.43159077,3566223.717184555,131259564269.0647,-62625994617.91537,-27148346237.97184
-5304422.894730771,-143049.1858986884,3538822.724443645,2458536.222861588,29508795.29373661,-23948122.29332754,3566234.001202921,131259635410.9921,-62625872920.25014,-27148293479.51086
-5304370.411154791,-144985.5646240916,3538822.589235749,2458536.222919459,29517521.2821693,-23937369.97367508,3566244.280287068,131259706552.7876,-62625751222.51794,-27148240721.02092
-5304317.221997397,-146921.908512509,3538822.452736199,2458536.222977329,29526243.35027361,-23926614.45848933,3566254.55443673,131259777693.8746,-62625629525.70472,-27148187962.92944
-5304263.32640907,-148858.2484900362,3538822.314942819,2458536.223035199,29534961.49774754,-23915855.78038253,3566264.823648348,131259848835.4031,-62625507827.84362,-27148135204.38375
-5304208.72482404,-150794.5686494668,3538822.175856723,2458536.22309307,29543675.72300601,-23905093.92513401,3566275.087921653,131259919976.7958,-62625386129.92237,-27148082445.81207
-5304153.417697244,-152730.8531615143,3538822.035479067,2458536.22315094,29552386.02444381,-23894328.87860147,3566285.347256421,131259991117.4821,-62625264432.91661,-27148029687.63734
-5304097.404144239,-154667.1329899658,3538821.893807603,2458536.22320881,29561092.40179571,-23883560.67343608,3566295.601649019,131260062258.608,-62625142734.86629,-27147976929.00985
-5304040.684615518,-156603.3922667415,3538821.750843475,2458536.223266681,29569794.8534622,-23872789.29545756,3566305.851099215,131260133399.6028,-62625021036.74721,-27147924170.35262
-5303983.259583292,-158539.6151630611,3538821.606587871,2458536.223324551,29578493.37782266,-23862014.73052534,3566316.095606812,131260204539.8893,-62624899339.54732,-27147871412.09394
-5303925.128131541,-160475.8325644461,3538821.461038488,2458536.223382421,29587187.97464528,-23851237.01121362,3566326.335168129,131260275680.6162,-62624777641.30097,-27147818653.38169
-5303866.290725797,-162412.0286805937,3538821.314196498,2458536.223440292,29595878.64231737,-23840456.12342111,3566336.569782957,131260346821.2044,-62624655942.99976,-27147765894.64571
-5303806.747857928,-164348.1876059743,3538821.166063122,2458536.223498162,29604565.37920046,-23829672.0529318,3566346.799451142,131260417961.094,-62624534245.60032,-27147713136.30075
-5303746.498576966,-166284.3402637308,3538821.016635994,2458536.223556032,29613248.18509949,-23818884.83235882,3566357.024168935,131260489101.4212,-62624412547.15979,-27147660377.50453
-5303685.543366943,-168220.4708254407,3538820.865916322,2458536.223613903,29621927.05838523,-23808094.44756386,3566367.243936168,131260560241.6106,-62624290848.66259,-27147607618.68381
-5303623.882734687,-170156.5634633943,3538820.713905353,2458536.223671773,29630601.99740606,-23797300.88441003,3566377.458752709,131260631381.0946,-62624169151.07915,-27147554860.25929
-5303561.515696616,-172092.64906104,3538820.560600659,2458536.223729644,29639273.00200146,-23786504.17547191,3566387.668614755,131260702521.017,-62624047452.453,-27147502101.38281
-5303498.442754074,-174028.7117904956,3538820.406003482,2458536.223787514,29647940.07052654,-23775704.30661326,3566397.87352217,131260773660.8115,-62623925753.75287,-27147449342.47434
-5303434.664431201,-175964.7358246092,3538820.250115099,2458536.223845384,29656603.20131437,-23764901.26369876,3566408.073474856,131260844799.8957,-62623804055.97521,-27147396583.96585
-5303370.17971064,-177900.752045742,3538820.092933025,2458536.223903255,29665262.39423966,-23754095.07930377,3566418.26846895,131260915939.4184,-62623682357.15479,-27147343825.00537
