q1,q2,q3,q4,phi,theta,psi,wx,wy,wz
-0.11664,0.028481,0.83002,0.54465,1.9708,0.22658,-0.081956,0.0016901,-0.00050284,-0.0052269
-0.11363,0.02975,0.82286,0.55597,1.9443,0.22189,-0.079416,0.0016834,-0.00053223,-0.0052258
-0.11054,0.030958,0.81555,0.56719,1.9179,0.21713,-0.07678,0.0016762,-0.00056148,-0.0052247
-0.10739,0.032104,0.80809,0.57829,1.8914,0.21229,-0.07405,0.0016687,-0.00059061,-0.0052235
-0.10417,0.033187,0.8005,0.58928,1.865,0.20738,-0.071227,0.0016608,-0.00061959,-0.0052222
-0.10089,0.034205,0.79275,0.60016,1.8386,0.20239,-0.06831,0.0016525,-0.00064843,-0.0052209
-0.097537,0.035158,0.78487,0.61092,1.8123,0.19734,-0.065299,0.0016439,-0.00067711,-0.0052195
-0.094126,0.036042,0.77685,0.62156,1.786,0.19223,-0.062197,0.0016349,-0.00070563,-0.0052181
-0.090657,0.036859,0.76869,0.63209,1.7597,0.18706,-0.059002,0.0016255,-0.00073398,-0.0052167
-0.08713,0.037605,0.7604,0.64249,1.7334,0.18183,-0.055717,0.0016157,-0.00076215,-0.0052151
-0.08355,0.038281,0.75197,0.65276,1.7072,0.17655,-0.052341,0.0016056,-0.00079015,-0.0052136
-0.079918,0.038885,0.74341,0.66291,1.681,0.17121,-0.048876,0.0015951,-0.00081796,-0.005212
-0.076237,0.039416,0.73471,0.67293,1.6548,0.16583,-0.045322,0.0015843,-0.00084557,-0.0052103
-0.072509,0.039873,0.72589,0.68282,1.6286,0.16041,-0.041681,0.0015731,-0.00087299,-0.0052086
-0.068737,0.040256,0.71693,0.69258,1.6024,0.15494,-0.037953,0.0015615,-0.00090019,-0.0052069
-0.064923,0.040564,0.70785,0.7022,1.5763,0.14944,-0.034139,0.0015496,-0.00092719,-0.0052051
-0.061071,0.040795,0.69864,0.71169,1.5501,0.1439,-0.030241,0.0015374,-0.00095397,-0.0052033
-0.057182,0.040951,0.68931,0.72104,1.524,0.13833,-0.02626,0.0015248,-0.00098052,-0.0052014
-0.05326,0.041029,0.67986,0.73025,1.4979,0.13273,-0.022196,0.0015119,-0.0010068,-0.0051996
-0.049307,0.041029,0.67029,0.73932,1.4718,0.12711,-0.018052,0.0014987,-0.0010329,-0.0051976
-0.045326,0.040951,0.66059,0.74825,1.4457,0.12147,-0.013828,0.0014851,-0.0010588,-0.0051957
-0.041319,0.040795,0.65079,0.75704,1.4196,0.11581,-0.0095255,0.0014712,-0.0010844,-0.0051937
-0.037289,0.040561,0.64086,0.76568,1.3935,0.11013,-0.0051461,0.0014569,-0.0011097,-0.0051917
-0.033239,0.040247,0.63082,0.77417,1.3674,0.10444,-0.00069128,0.0014423,-0.0011348,-0.0051897
-0.029172,0.039855,0.62067,0.78251,1.3413,0.098747,0.0038377,0.0014275,-0.0011596,-0.0051876
-0.02509,0.039384,0.61041,0.79071,1.3152,0.093047,0.0084392,0.0014123,-0.0011842,-0.0051855
-0.020996,0.038833,0.60004,0.79875,1.2891,0.087345,0.013112,0.0013968,-0.0012084,-0.0051834
-0.016894,0.038204,0.58956,0.80664,1.263,0.081644,0.017854,0.001381,-0.0012324,-0.0051813
-0.012784,0.037496,0.57898,0.81438,1.2369,0.075948,0.022664,0.0013648,-0.0012561,-0.0051792
-0.0086716,0.036709,0.5683,0.82196,1.2108,0.070261,0.02754,0.0013484,-0.0012795,-0.005177
-0.0045579,0.035844,0.55752,0.82938,1.1847,0.064585,0.032481,0.0013317,-0.0013027,-0.0051749
-0.00044617,0.034902,0.54663,0.83664,1.1586,0.058923,0.037484,0.0013147,-0.0013255,-0.0051727
0.003661,0.033882,0.53565,0.84375,1.1324,0.053279,0.042549,0.0012974,-0.001348,-0.0051705
0.0077609,0.032785,0.52458,0.8507,1.1063,0.047655,0.047673,0.0012799,-0.0013702,-0.0051683
0.011851,0.031611,0.51341,0.85748,1.0801,0.042056,0.052854,0.001262,-0.0013921,-0.0051661
0.015928,0.030362,0.50215,0.8641,1.0539,0.036484,0.05809,0.0012439,-0.0014137,-0.0051639
0.01999,0.029038,0.49079,0.87056,1.0277,0.030942,0.063381,0.0012255,-0.0014349,-0.0051617
0.024033,0.02764,0.47936,0.87686,1.0015,0.025434,0.068722,0.0012069,-0.0014558,-0.0051595
0.028056,0.026168,0.46783,0.88298,0.97519,0.019962,0.074114,0.001188,-0.0014764,-0.0051573
0.032056,0.024624,0.45623,0.88895,0.94891,0.01453,0.079553,0.0011688,-0.0014967,-0.0051551
0.03603,0.023009,0.44454,0.89474,0.92261,0.0091406,0.085037,0.0011494,-0.0015166,-0.005153
0.039975,0.021323,0.43277,0.90037,0.89628,0.0037966,0.090565,0.0011297,-0.0015362,-0.0051508
0.04389,0.019568,0.42092,0.90582,0.86992,-0.0014987,0.096134,0.0011098,-0.0015554,-0.0051486
0.047771,0.017744,0.409,0.91111,0.84354,-0.0067425,0.10174,0.0010897,-0.0015743,-0.0051465
0.051616,0.015854,0.397,0.91623,0.81712,-0.011932,0.10739,0.0010693,-0.0015928,-0.0051443
0.055423,0.013898,0.38494,0.92117,0.79068,-0.017064,0.11307,0.0010487,-0.0016109,-0.0051422
0.059189,0.011878,0.3728,0.92595,0.7642,-0.022136,0.11878,0.0010279,-0.0016287,-0.0051401
0.062912,0.0097955,0.3606,0.93055,0.7377,-0.027145,0.12452,0.0010069,-0.0016462,-0.005138
0.066589,0.0076513,0.34833,0.93497,0.71116,-0.032088,0.13028,0.00098563,-0.0016632,-0.005136
0.070219,0.0054474,0.336,0.93923,0.68458,-0.036962,0.13608,0.00096417,-0.0016799,-0.0051339
0.073799,0.0031851,0.3236,0.9433,0.65798,-0.041766,0.14189,0.00094251,-0.0016962,-0.0051319
