x,y,z,vx,vy,vz
17943632.812,38156808.2588,23837.3957498,-2782.02470538,1309.00962673,-2.30474998873
17929721.4962,38163350.7708,23825.8704158,-2782.50155635,1307.99513165,-2.30538355855
17915807.7971,38169888.2098,23814.3419148,-2782.97803734,1306.98046293,-2.30601682177
17901891.7165,38176420.5751,23802.8102481,-2783.45414828,1305.96562073,-2.30664977831
17887973.2562,38182947.8657,23791.2754175,-2783.92988912,1304.95060516,-2.30728242809
17874052.4182,38189470.0809,23779.7374244,-2784.40525979,1303.93541638,-2.30791477103
17860129.2042,38195987.2196,23768.1962703,-2784.88026023,1302.9200545,-2.30854680703
17846203.6162,38202499.2811,23756.6519568,-2785.35489037,1301.90451967,-2.30917853602
17832275.6559,38209006.2645,23745.1044854,-2785.82915015,1300.88881203,-2.30980995791
17818345.3253,38215508.1689,23733.5538577,-2786.30303952,1299.8729317,-2.31044107261
17804412.6262,38222004.9935,23722.0000752,-2786.7765584,1298.85687883,-2.31107188005
17790477.5604,38228496.7374,23710.4431395,-2787.24970673,1297.84065354,-2.31170238014
17776540.1297,38234983.3998,23698.8830519,-2787.72248446,1296.82425598,-2.3123325728
17762600.3361,38241464.9797,23687.3198142,-2788.19489151,1295.80768627,-2.31296245794
17748658.1814,38247941.4764,23675.7534279,-2788.66692783,1294.79094456,-2.31359203548
17734713.6675,38254412.8889,23664.1838944,-2789.13859335,1293.77403097,-2.31422130533
17720766.7961,38260879.2164,23652.6112153,-2789.60988801,1292.75694565,-2.31485026742
17706817.5692,38267340.458,23641.0353922,-2790.08081175,1291.73968873,-2.31547892165
17692865.9886,38273796.613,23629.4564266,-2790.5513645,1290.72226035,-2.31610726795
17678912.0562,38280247.6804,23617.8743201,-2791.02154621,1289.70466063,-2.31673530623
17664955.7738,38286693.6593,23606.2890741,-2791.49135681,1288.68688972,-2.31736303641
17650997.1432,38293134.549,23594.7006902,-2791.96079624,1287.66894774,-2.31799045841
17637036.1664,38299570.3485,23583.10917,-2792.42986443,1286.65083485,-2.31861757213
17623072.8452,38306001.057,23571.514515,-2792.89856133,1285.63255116,-2.31924437751
17609107.1814,38312426.6737,23559.9167268,-2793.36688687,1284.61409683,-2.31987087445
17595139.177,38318847.1977,23548.3158068,-2793.83484099,1283.59547197,-2.32049706287
17581168.8336,38325262.6282,23536.7117566,-2794.30242363,1282.57667673,-2.3211229427
17567196.1533,38331672.9642,23525.1045779,-2794.76963473,1281.55771125,-2.32174851384
17553221.1379,38338078.205,23513.494272,-2795.23647422,1280.53857565,-2.32237377621
17539243.7892,38344478.3497,23501.8808406,-2795.70294204,1279.51927008,-2.32299872973
17525264.1091,38350873.3974,23490.2642852,-2796.16903813,1278.49979466,-2.32362337432
17511282.0995,38357263.3473,23478.6446074,-2796.63476243,1277.48014954,-2.3242477099
17497297.7621,38363648.1986,23467.0218087,-2797.10011487,1276.46033486,-2.32487173637
17483311.0989,38370027.9504,23455.3958905,-2797.56509541,1275.44035074,-2.32549545367
17469322.1118,38376402.6019,23443.7668546,-2798.02970396,1274.42019732,-2.3261188617
17455330.8025,38382772.1521,23432.1347024,-2798.49394048,1273.39987474,-2.32674196038
17441337.173,38389136.6003,23420.4994355,-2798.9578049,1272.37938313,-2.32736474964
17427341.2251,38395495.9457,23408.8610555,-2799.42129716,1271.35872263,-2.32798722938
17413342.9606,38401850.1873,23397.2195638,-2799.88441719,1270.33789338,-2.32860939953
17399342.3815,38408199.3243,23385.574962,-2800.34716494,1269.31689551,-2.32923126
17385339.4896,38414543.3559,23373.9272517,-2800.80954035,1268.29572915,-2.32985281072
17371334.2867,38420882.2813,23362.2764344,-2801.27154335,1267.27439445,-2.33047405159
17357326.7748,38427216.0996,23350.6225117,-2801.73317388,1266.25289154,-2.33109498253
17343316.9556,38433544.81,23338.9654851,-2802.19443188,1265.23122055,-2.33171560347
17329304.8311,38439868.4115,23327.3053562,-2802.65531729,1264.20938162,-2.33233591432
17315290.4031,38446186.9035,23315.6421265,-2803.11583005,1263.18737488,-2.332955915
17301273.6734,38452500.285,23303.9757975,-2803.5759701,1262.16520048,-2.33357560543
17287254.644,38458808.5552,23292.3063709,-2804.03573738,1261.14285854,-2.33419498551
17273233.3167,38465111.7133,23280.6338482,-2804.49513182,1260.12034921,-2.33481405519
17259209.6933,38471409.7584,23268.9582309,-2804.95415337,1259.09767262,-2.33543281436
17245183.7758,38477702.6897,23257.2795206,-2805.41280196,1258.0748289,-2.33605126294
17231155.5659,38483990.5064,23245.5977188,-2805.87107754,1257.0518182,-2.33666940087
17217125.0656,38490273.2077,23233.9128271,-2806.32898003,1256.02864064,-2.33728722804
17203092.2767,38496550.7926,23222.224847,-2806.78650939,1255.00529637,-2.33790474439
17189057.2011,38502823.2603,23210.5337801,-2807.24366555,1253.98178552,-2.33852194983
17175019.8407,38509090.6101,23198.839628,-2807.70044846,1252.95810822,-2.33913884428
17160980.1973,38515352.8411,23187.1423922,-2808.15685804,1251.93426461,-2.33975542765
17146938.2727,38521609.9525,23175.4420743,-2808.61289424,1250.91025484,-2.34037169986
