t,mApp
3245,27.293491
3250,27.3808686
3255,27.476186
3260,27.5809246
3265,27.6437809
3270,27.6325121
3275,27.6222213
3280,27.6128996
3285,27.6045392
3290,27.5971335
3295,27.5906766
3300,27.5851638
3305,27.5805911
3310,27.5664934
3315,27.4626946
3320,27.3692614
3325,27.2844977
3330,27.2071024
3335,27.136056
3340,27.0705444
3345,27.0099077
3350,26.9536033
3355,26.9011797
3360,26.8522573
3365,26.806514
3370,26.7636741
3375,26.7234998
3380,26.6857848
3385,26.6503488
3390,26.6170336
3395,26.5856993
3400,26.5562222
3405,26.5284918
3410,26.5424485
3415,26.5707076
3420,26.6004032
3425,26.6316068
3430,26.664398
3435,26.6988657
3440,26.7351091
3445,26.77324
3450,26.8133842
3455,26.8556841
3460,26.4295614
3465,25.9780495
3470,25.667533
3475,25.4327024
3480,25.2453722
3485,25.0907849
3490,24.960243
3495,24.848191
3500,24.7508664
3505,24.6656058
3510,24.5904571
3515,24.5239495
3520,24.4649498
3525,24.4125691
3530,24.3660995
3535,24.3249706
3540,24.2887187
3545,24.2569644
3550,24.229396
3555,24.2052473
3560,24.180899
3565,24.1602692
3570,24.1431778
3575,24.1261056
3580,24.1119438
3585,24.1010419
3590,24.0933034
3595,24.0886558
3600,24.0870488
3605,24.0884527
3610,24.0928579
3615,24.1002749
3620,24.1107339
3625,24.1242861
3630,24.1410049
3635,24.1609878
3640,24.1843589
3645,24.2112726
3650,24.2419182
3655,24.276526
3660,24.3153748
3665,24.3588029
3670,24.4072215
3675,24.4611331
3680,24.5211572
3685,24.5880648
3690,24.6628289
3695,24.7466965
3700,24.8412985
3705,24.9488199
3710,25.0722773
3715,25.2231304
3720,25.4100081
3725,25.6413882
3730,25.9424755
3735,26.3694773
3740,26.7799865
3745,26.8130648
3750,26.8478341
3755,26.8843947
3760,26.9228592
3765,26.963354
3770,27.0060224
3775,27.051027
3780,27.0985531
3785,27.1488138
3790,27.202055
3795,27.2585627
3800,27.318672
3805,27.382779
3810,27.4513562
3815,27.5249736
3820,27.6043273
3825,27.6902793
3830,27.7839148
3835,27.8866267
3840,28.0002431
3845,28.1272302
3850,28.2710285
3855,28.2935142
3860,28.2864908
3865,28.2800331
3870,28.2741234
3875,28.2687462
3880,28.2638875
3885,28.2595351
3890,28.1353764
3895,28.009164
3900,27.8972743
3905,27.7969762
3910,27.7062653
3915,27.6236272
3920,27.5478901
3925,27.4781287
3930,27.4135997
3935,27.3536972
3940,27.2979211
3945,27.2458534
3950,27.1971421
3955,27.1514872
3960,27.1086319
3965,27.0683543
3970,27.0304614
3975,26.9947848
3980,26.9611763
3985,26.9295053
3990,26.8996561
3995,26.8715255
4000,26.8450217
4005,26.8200622
4010,26.7965733
4015,26.7744883
4020,26.8002339
4025,26.8293914
4030,26.8600297
4035,26.8922295
4040,26.9260803
4045,26.9616819
4050,26.999146
4055,27.0385979
4060,27.0801791
4065,27.1240498
4070,27.1703926
4075,27.2194167
4080,27.2713629
4085,27.326511
4090,27.3851879
4095,27.4477793
4100,27.5147441
4105,27.5866348
4110,27.6641239
4115,27.7480421
4120,27.8394317
4125,27.939625
4130,27.9518738
4135,27.9540531
4140,27.9570751
4145,27.9609331
4150,27.965621
4155,27.9711339
4160,27.9774678
4165,27.9846193
4170,27.9925862
4175,28.001367
4180,27.9369992
4185,27.8473685
4190,27.7656934
4195,27.6908233
4200,27.6218482
4205,27.558036
4210,27.498789
4215,27.443613
4220,27.3920947
4225,27.3438853
4230,27.2986876
4235,27.2562465
4240,27.2163413
4245,27.1787802
4250,27.1433951
4255,27.1100384
4260,26.7731343
4265,26.4514798
4270,26.2163728
4275,26.0342406
4280,25.8881568
4285,25.781979
4290,25.6954519
4295,25.6233514
4300,25.5634358
4305,25.5140762
4310,25.4740705
4315,25.4425267
4320,25.4187867
4325,25.4023766
4330,25.3929735
4335,25.3903851
4340,25.3945375
4345,25.4054708
4350,25.4233417
4355,25.448433
4360,25.4811718
4365,25.5221581
4370,25.5722098
4375,25.6324293
4380,25.7043071
4385,25.7898838
4390,25.8920152
4395,26.0148281
4400,26.1645553
4405,26.3512076
4410,26.5923378
4415,26.9231245
4420,27.4323124
4425,28.3756902
4430,28.4813533
4435,28.473048
4440,28.4661514
4445,28.4606409
4450,28.4564971
4455,28.453704
4460,28.4522483
4465,28.3291396
4470,28.2199649
4475,28.1222232
4480,28.033952
4485,27.9536652
4490,27.8802105
4495,27.8126763
4500,27.7503289
4505,27.6925696
4510,27.6389029
4515,27.5889145
4520,27.5422546
4525,27.498625
4530,27.4577696
4535,27.4194669
4540,27.3835239
4545,27.3497719
4550,27.3180623
4555,27.2882637
4560,27.2602593
4565,27.2339451
4570,27.2092282
4575,27.1860248
4580,27.1642599
4585,27.1438656
4590,27.1247807
4595,27.1069495
4600,27.1020789
4605,27.1282952
4610,27.1557088
4615,27.1843717
4620,27.2143414
4625,27.2456814
4630,27.2784621
4635,27.3127616
4640,27.3486668
4645,27.3862751
4650,27.4256951
4655,27.4670492
4660,27.5104756
4665,27.556131
4670,27.604194
4675,27.654869
4680,27.708392
4685,27.7650365
4690,27.8251224
4695,27.8890266
4700,27.9571976
4705,28.0301744
4710,28.0636931
4715,28.0522854
4720,28.0416417
4725,28.031757
4730,28.0226274
4735,28.0142495
4740,28.0066211
4745,27.9997404
4750,27.9936067
4755,27.9882199
4760,27.9835807
4765,27.9796903
4770,27.9765509
4775,27.9741651
4780,27.9337839
4785,27.8684465
4790,27.8079386
4795,27.751727
4800,27.6993678
4805,27.6504876
4810,27.6047694
4815,27.5619419
4820,27.521771
4825,27.4840536
4830,27.4486123
4835,27.4152914
4840,27.3839533
4845,27.3544763
4850,27.326752
4855,27.3006834
4860,27.2761838
4865,27.2531751
4870,27.2749131
4875,27.3009608
4880,27.3283407
4885,27.3571137
4890,27.3873467
4895,27.4191145
4900,27.4524999
4905,27.4875955
4910,27.5245049
4915,27.5633443
4920,27.6042449
4925,27.6473553
4930,27.6928442
4935,27.7409049
4940,27.7917595
4945,27.8456651
4950,27.9029214
4955,27.9638807
4960,28.0289602
4965,28.0986597
4970,28.173584
4975,28.2544751
4980,28.3422561
4985,28.4380958
4990,28.5435042
4995,28.5887854
5000,28.5868681
5005,27.6661432
5010,27.1570589
5015,26.826571
5020,26.585644
5025,26.399001
5030,26.2490351
5035,26.1256941
5040,26.0208762
5045,25.9244559
5050,25.8426978
5055,25.7731036
5060,25.7138472
5065,25.6635611
5070,25.6212037
5075,25.5859715
5080,25.5572413
5085,25.5345294
5090,25.5174637
5095,25.5057644
5100,25.4992293
5105,25.497725
5110,25.5011809
5115,25.5095857
5120,25.5229873
5125,25.5414946
5130,25.5652825
5135,25.5945993
5140,25.6297795
5145,25.67126
5150,25.7196052
5155,25.7755412
5160,25.8496578
5165,25.9350304
5170,26.0337427
5175,26.1487854
5180,26.2844626
5185,26.4472731
5190,26.6476851
5195,26.9041795
5200,27.254269
5205,27.685896
5210,27.7204634
5215,27.756867
5220,27.7952226
5225,27.8356604
5230,27.8783281
5235,27.9233931
5240,27.971047
5245,28.0215098
5250,28.0750359
5255,28.1319216
5260,28.1925146
5265,28.2572267
5270,28.3265502
5275,28.4010804
5280,28.4815465
5285,28.5688544
5290,28.5935641
5295,28.5854667
5300,28.5782795
5305,28.5719717
5310,28.5665147
5315,28.5618817
5320,28.5580483
5325,28.5549914
5330,28.5526901
5335,28.5511249
5340,28.5502776
5345,28.5426281
5350,28.4595539
5355,28.3835269
5360,28.3135893
5365,28.2489734
5370,28.1890547
5375,28.1333182
5380,28.0813346
5385,28.032742
5390,27.9872332
5395,27.9445445
5400,27.9044488
5405,27.8667486
5410,27.8312714
5415,27.7978658
5420,27.7663981
5425,27.7367499
5430,27.7088159
5435,27.6825021
5440,27.6577243
5445,27.6344069
5450,27.6124818
5455,27.5918877
5460,27.5725691
5465,27.5745138
5470,27.5995182
5475,27.6257573
5480,27.6532868
5485,27.6821679
5490,27.7124682
5495,27.7442626
5500,27.777634
5505,27.8126749
5510,27.8494886
5515,27.8881907
5520,27.9289114
5525,27.9717978
5530,28.0170168
5535,28.0647591
5540,28.1152434
5545,28.1687225
5550,28.2254905
5555,28.2858922
5560,28.3503356
5565,28.4024819
5570,28.3987606
5575,28.3959547
5580,28.3940544
5585,28.3930512
5590,28.3929377
5595,28.3937075
5600,28.3953554
5605,28.397877
5610,28.4012691
5615,28.4055293
5620,28.4106565
5625,28.4166503
5630,28.4235114
5635,28.4312416
5640,28.4383767
5645,28.3769744
