Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
1938.77941515,26474.984449,0.6795694, 68.4134,248.7830,249.3520,326.1353
1948.75287465,26402.963933,0.6786421, 68.3870,247.8776,248.9208,  1.5257
1948.75291019,26402.880641,0.6786412, 68.3870,247.8775,248.9205,  1.5517
1951.74485262,26474.535053,0.6794854, 68.3915,247.5884,248.7733, 12.0126
1952.74204976,26482.784319,0.6795402, 68.3927,247.4986,248.7427, 15.4037
1952.74206592,26482.799211,0.6795403, 68.3927,247.4986,248.7427, 15.4154
1956.73118843,26482.491182,0.6794847, 68.3888,247.1458,248.5855, 29.2488
1956.73120506,26482.487602,0.6794846, 68.3888,247.1458,248.5855, 29.2608
1957.72861437,26481.474963,0.6794837, 68.3867,247.0567,248.5447, 32.8160
2015.06376500,26472.711675,0.6789026, 68.3741,241.9303,246.0935,233.3015
2019.05164557,26473.417596,0.6788490, 68.3739,241.5719,245.9249,246.8493
2027.02728272,26474.797444,0.6788119, 68.3672,240.8752,245.5626,273.4665
2027.52575873,26474.850808,0.6788137, 68.3665,240.8314,245.5414,275.1114
2033.50724672,26476.029745,0.6788022, 68.3675,240.3017,245.2795,294.4916
2039.48861773,26476.825243,0.6788846, 68.3594,239.7785,245.0131,313.4146
2040.98384476,26477.047111,0.6789034, 68.3563,239.6453,244.9509,318.0085
2051.94900579,26507.964233,0.6792231, 68.3514,238.6743,244.4632,351.3090
2061.91670909,26487.923562,0.6791361, 68.3424,237.7645,244.0341, 20.6017
2066.90035884,26485.141362,0.6792133, 68.3338,237.3269,243.8245, 35.0633
2080.35540943,26480.690565,0.6793244, 68.3189,236.1327,243.2519, 73.8857
2086.83325806,26479.234586,0.6794046, 68.3165,235.5569,242.9781, 92.5679
2088.82646543,26478.825777,0.6794454, 68.3168,235.3810,242.8899, 98.3848
2090.81956550,26478.409175,0.6795013, 68.3143,235.2054,242.8024,104.1513
2094.80571661,26477.563139,0.6796042, 68.3046,234.8499,242.6363,115.7364
2098.79175987,26476.767006,0.6796299, 68.2997,234.4899,242.4757,127.3592
2121.70896776,26475.958806,0.6799381, 68.2716,232.4495,241.4780,193.5357
2122.70525911,26476.094298,0.6799467, 68.2690,232.3595,241.4377,196.3187
2132.16967779,26477.492600,0.6799842, 68.2611,231.5118,241.0380,222.1806
2134.16201003,26477.912535,0.6800121, 68.2555,231.3350,240.9506,227.4109
2142.13110347,26479.629748,0.6800827, 68.2516,230.6275,240.6104,247.8106
2146.61354157,26480.663382,0.6802006, 68.2446,230.2289,240.4183,258.8631
2162.05109721,26483.226248,0.6803182, 68.2335,228.8518,239.7826,294.1002
2166.03451830,26483.448548,0.6803280, 68.2334,228.4992,239.6188,302.5935
2173.00512257,26483.230626,0.6805167, 68.2423,227.8840,239.3185,317.0070
2178.97945173,26483.124919,0.6805741, 68.2396,227.3481,239.0762,328.9510
2189.93139218,26511.451700,0.6810953, 68.2539,226.3783,238.5857,350.2869
2211.83091423,26485.844444,0.6815808, 68.2753,224.4062,237.6463, 31.5646
2213.82158737,26484.913463,0.6816713, 68.2752,224.2301,237.5557, 35.3362
2214.81690957,26484.458008,0.6817142, 68.2738,224.1416,237.5107, 37.2223
2218.79812307,26482.888954,0.6818234, 68.2689,223.7873,237.3347, 44.7833
2230.74090239,26480.837997,0.6824317, 68.2644,222.7229,236.7963, 67.1895
2234.72181766,26480.825410,0.6825315, 68.2603,222.3634,236.6248, 74.6617
2237.70737798,26481.056426,0.6826511, 68.2612,222.0967,236.4910, 80.1396
2238.70260182,26481.148877,0.6827068, 68.2606,222.0079,236.4456, 81.9833
2241.68808664,26481.408752,0.6828836, 68.2528,221.7394,236.3098, 87.3498
2244.67355082,26481.706964,0.6829963, 68.2410,221.4692,236.1785, 92.6554
2249.64949115,26482.588632,0.6831668, 68.2387,221.0250,235.9610,101.4794
2253.63033588,26483.346912,0.6834423, 68.2322,220.6670,235.7839,108.4479
2263.58246855,26485.371660,0.6837545, 68.2034,219.7573,235.3692,125.2806
2266.56846784,26486.047928,0.6838947, 68.1997,219.4874,235.2403,130.4043
2271.04709482,26486.927907,0.6840744, 68.1811,219.0777,235.0502,137.6741
2281.99583730,26488.801574,0.6844886, 68.1678,218.0873,234.5936,155.4664
2287.47056093,26489.342490,0.6845636, 68.1525,217.5828,234.3777,164.3489
2289.95919152,26489.448273,0.6845871, 68.1544,217.3575,234.2770,168.4369
2292.94562660,26489.522041,0.6846842, 68.1570,217.0882,234.1530,173.3764
2295.43439587,26489.553401,0.6847920, 68.1538,216.8616,234.0491,177.5384
2296.92767402,26489.523445,0.6848371, 68.1497,216.7248,233.9870,180.0502
2298.42096737,26489.503071,0.6848553, 68.1457,216.5883,233.9259,182.5778
2300.41204913,26489.479583,0.6848538, 68.1448,216.4087,233.8439,185.9711
2302.40319451,26489.338003,0.6848761, 68.1500,216.2320,233.7609,189.4136
2304.39450003,26489.159906,0.6849592, 68.1570,216.0556,233.6763,192.9755
2305.88778004,26489.029728,0.6850486, 68.1599,215.9217,233.6126,195.5071
2306.88338862,26488.937963,0.6851096, 68.1602,215.8316,233.5707,197.2628
2307.87904173,26488.845546,0.6851648, 68.1593,215.7407,233.5293,199.0549
2309.37274234,26488.676458,0.6852283, 68.1566,215.6036,233.4684,201.9123
2311.36410806,26488.453197,0.6852703, 68.1530,215.4205,233.3882,205.5713
2312.85767451,26488.295813,0.6852774, 68.1521,215.2839,233.3280,208.3609
2315.34672946,26487.859073,0.6852823, 68.1563,215.0589,233.2269,212.8784
2339.74577894,26483.044752,0.6862773, 68.1976,212.8662,232.1806,264.0432
2354.68742822,26480.944692,0.6869652, 68.2210,211.5225,231.5218,299.7338
2367.63834110,26479.647117,0.6878218, 68.2316,210.3498,230.9466,331.6092
2374.11456818,26498.727144,0.6883469, 68.2473,209.7631,230.6362,347.7692
2382.08582638,26436.613367,0.6882993, 68.2212,209.0069,230.2588,  7.5801
2383.08226834,26456.573618,0.6885909, 68.2233,208.9132,230.2163, 10.0396
2385.57340355,26484.255968,0.6890632, 68.2327,208.6863,230.1264, 16.1588
2390.05759664,26492.499455,0.6896065, 68.2319,208.2728,229.9494, 27.1352
2391.05411258,26492.660810,0.6896914, 68.2271,208.1783,229.9088, 29.5729
2392.05063337,26492.697079,0.6897565, 68.2221,208.0837,229.8682, 32.0069
2402.01625585,26492.923176,0.6903241, 68.2137,207.1604,229.4508, 56.1569
2409.98916139,26493.184120,0.6907880, 68.1867,206.4098,229.1203, 75.2476
2425.43826029,26492.961704,0.6917373, 68.1636,204.9568,228.4871,112.8178
2431.91725512,26492.347175,0.6922071, 68.1543,204.3443,228.2202,128.8656
2438.89501845,26491.396663,0.6923812, 68.1449,203.6856,227.9300,146.6517
2440.88869896,26491.122696,0.6925170, 68.1501,203.5017,227.8465,151.7937
2442.88244822,26490.768054,0.6926978, 68.1494,203.3136,227.7645,157.0050
2444.87619351,26490.345515,0.6928546, 68.1419,203.1208,227.6836,162.2441
2450.85759726,26489.099249,0.6929672, 68.1282,202.5460,227.4361,178.3016
2451.85449142,26488.891050,0.6929876, 68.1307,202.4532,227.3937,180.9990
2453.84834983,26488.442509,0.6930727, 68.1365,202.2680,227.3088,186.4645
2455.84221545,26487.958058,0.6932050, 68.1393,202.0810,227.2245,191.9660
2457.83610961,26487.472138,0.6933432, 68.1365,201.8907,227.1406,197.5249
2459.83006860,26487.007932,0.6934373, 68.1297,201.6981,227.0565,203.1735
