Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
2122.70525911,26504.504085,0.6796490, 68.2902,234.0250,241.4266,126.7689
2132.16967779,26503.208006,0.6796586, 68.2881,233.1794,241.0268,142.2433
2134.16201003,26503.051147,0.6796833, 68.2838,233.0035,240.9383,145.4271
2142.13110347,26502.749683,0.6797394, 68.2837,232.2978,240.5918,158.0846
2146.61354157,26502.940493,0.6798501, 68.2787,231.9014,240.3931,165.0559
2162.05109721,26504.419066,0.6799839, 68.2680,230.5305,239.7337,187.1622
2166.03451830,26505.025765,0.6800069, 68.2664,230.1801,239.5627,192.3431
2173.00512257,26506.229336,0.6802253, 68.2707,229.5679,239.2514,200.8418
2178.97945173,26507.436650,0.6803264, 68.2624,229.0362,239.0034,207.4792
2189.93139218,26509.600912,0.6805770, 68.2611,228.0722,238.5268,218.1620
2211.83091423,26513.395024,0.6813311, 68.2603,226.1391,237.5911,233.4917
2213.82158737,26513.641457,0.6814333, 68.2582,225.9632,237.5037,234.5837
2214.81690957,26513.770380,0.6814802, 68.2559,225.8749,237.4606,235.1127
2218.79812307,26514.231871,0.6816019, 68.2477,225.5220,237.2931,237.1384
2230.74090239,26514.882416,0.6822121, 68.2386,224.4597,236.7878,242.2687
2234.72181766,26514.900709,0.6823060, 68.2347,224.1012,236.6279,243.9248
2237.70737798,26514.796805,0.6824165, 68.2365,223.8349,236.5027,245.0743
2238.70260182,26514.752554,0.6824683, 68.2364,223.7462,236.4600,245.4852
2241.68808664,26514.636122,0.6826328, 68.2304,223.4781,236.3318,246.5923
2244.67355082,26514.519387,0.6827343, 68.2205,223.2089,236.2074,247.7100
2249.64949115,26514.055045,0.6828868, 68.2214,222.7658,236.0009,249.7521
2253.63033588,26513.622867,0.6831428, 68.2188,222.4082,235.8313,251.5007
2263.58246855,26512.364244,0.6834153, 68.1993,221.5007,235.4303,256.2384
2266.56846784,26511.837723,0.6835397, 68.1992,221.2314,235.3042,258.0292
2271.04709482,26511.147739,0.6837069, 68.1857,220.8231,235.1155,260.5670
2281.99583730,26508.910638,0.6840849, 68.1825,219.8350,234.6579,268.1266
2287.47056093,26507.713731,0.6841555, 68.1708,219.3318,234.4382,272.5323
2289.95919152,26507.181706,0.6841700, 68.1735,219.1067,234.3360,274.7088
2292.94562660,26506.445175,0.6842544, 68.1779,218.8381,234.2091,277.4453
2295.43439587,26505.788199,0.6843578, 68.1768,218.6126,234.1018,279.8389
2296.92767402,26505.528113,0.6844051, 68.1732,218.4763,234.0381,281.3153
2298.42096737,26505.132447,0.6844267, 68.1698,218.3403,233.9746,282.8265
2300.41204913,26504.679805,0.6844262, 68.1686,218.1608,233.8903,284.8923
2302.40319451,26504.189303,0.6844425, 68.1735,217.9842,233.8047,287.0364
2304.39450003,26503.695720,0.6845161, 68.1807,217.8081,233.7175,289.3217
2305.88778004,26503.425289,0.6846008, 68.1839,217.6748,233.6520,290.9067
2306.88338862,26503.213844,0.6846602, 68.1845,217.5851,233.6084,292.0358
2307.87904173,26503.013119,0.6847153, 68.1838,217.4947,233.5653,293.2039
2309.37274234,26502.659803,0.6847805, 68.1814,217.3584,233.5012,295.1299
2311.36410806,26502.301125,0.6848270, 68.1774,217.1759,233.4178,297.5516
2312.85767451,26502.093790,0.6848364, 68.1757,217.0394,233.3561,299.4148
2315.34672946,26501.611767,0.6848377, 68.1784,216.8147,233.2505,302.3856
2339.74577894,26500.555562,0.6857735, 68.2026,214.6272,232.1691,336.3844
2354.68742822,26499.524926,0.6864546, 68.2124,213.2837,231.5356,358.6097
2367.63834110,26508.371337,0.6875158, 68.2162,212.0900,230.9241, 17.6443
2374.11456818,26514.026961,0.6878982, 68.2288,211.5074,230.6582, 27.1879
2382.08582638,26514.618280,0.6884239, 68.2131,210.7768,230.3216, 38.8352
2383.08226834,26514.671746,0.6884624, 68.2139,210.6871,230.2793, 40.2842
2385.57340355,26514.842281,0.6886234, 68.2207,210.4652,230.1725, 43.8890
2390.05759664,26515.176968,0.6891244, 68.2190,210.0558,229.9823, 50.3484
2391.05411258,26515.209075,0.6892174, 68.2144,209.9619,229.9413, 51.7867
2392.05063337,26515.240666,0.6892910, 68.2095,209.8677,229.9008, 53.2237
2402.01625585,26516.004999,0.6898795, 68.2021,208.9473,229.4897, 67.5829
2409.98916139,26516.119040,0.6903559, 68.1762,208.1997,229.1628, 79.0622
2425.43826029,26515.798888,0.6913125, 68.1528,206.7519,228.5344,102.1870
2431.91725512,26515.323884,0.6917825, 68.1436,206.1424,228.2693,112.1908
2438.89501845,26514.518479,0.6919684, 68.1317,205.4851,227.9826,123.4353
2440.88869896,26514.350097,0.6920998, 68.1365,205.3018,227.8999,126.7000
2442.88244822,26514.094980,0.6922797, 68.1360,205.1148,227.8185,130.0283
2444.87619351,26513.741334,0.6924415, 68.1285,204.9230,227.7384,133.3769
2450.85759726,26512.682177,0.6925683, 68.1122,204.3492,227.4954,143.7213
2451.85449142,26512.537545,0.6925867, 68.1143,204.2564,227.4537,145.4616
2453.84834983,26512.237016,0.6926660, 68.1194,204.0715,227.3702,149.0073
2455.84221545,26511.895239,0.6927943, 68.1220,203.8852,227.2871,152.5796
2457.83610961,26511.501158,0.6929335, 68.1192,203.6957,227.2047,156.2005
2459.83006860,26511.068539,0.6930335, 68.1122,203.5038,227.1225,159.9036
2461.82393029,26510.634746,0.6930678, 68.1060,203.3127,227.0394,163.5752
