Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
2450.85759726,26515.003193,0.6925639, 68.1064,204.3587,227.4974,120.3465
2451.85449142,26514.918059,0.6925818, 68.1083,204.2660,227.4561,121.9986
2453.84834983,26514.737071,0.6926601, 68.1132,204.0812,227.3732,125.3613
2455.84221545,26514.502596,0.6927877, 68.1155,203.8950,227.2908,128.7424
2457.83610961,26514.190816,0.6929271, 68.1126,203.7058,227.2090,132.1641
2459.83006860,26513.814205,0.6930284, 68.1053,203.5140,227.1275,135.6606
2461.82393029,26513.427243,0.6930639, 68.0989,203.3228,227.0452,139.1188
2464.81485322,26512.949981,0.6930702, 68.1019,203.0441,226.9192,144.4526
2467.80583885,26512.527923,0.6932080, 68.1151,202.7712,226.7929,149.8739
2469.79982638,26512.165688,0.6933752, 68.1185,202.5854,226.7106,153.5118
2477.77618267,26510.413536,0.6936336, 68.1085,201.8242,226.3813,168.7141
2479.77031331,26510.013870,0.6936771, 68.1173,201.6408,226.2959,172.6266
2482.76154844,26509.373255,0.6938540, 68.1293,201.3649,226.1685,178.5730
2488.24565906,26508.158667,0.6941605, 68.1250,200.8441,225.9372,189.8156
2490.73843487,26507.525571,0.6941771, 68.1279,200.6111,225.8289,195.0305
2492.23413239,26507.264655,0.6941998, 68.1355,200.4751,225.7630,198.2074
2494.72695821,26506.619388,0.6943458, 68.1527,200.2506,225.6541,203.5297
2496.22271308,26506.347562,0.6944908, 68.1592,200.1132,225.5904,206.7849
2504.69885342,26504.489730,0.6949184, 68.1619,199.3107,225.2272,225.7856
2506.19461116,26504.252395,0.6949667, 68.1701,199.1739,225.1611,229.1774
2511.18046935,26503.306838,0.6953633, 68.1929,198.7150,224.9425,240.5623
2515.16991302,26502.825741,0.6956495, 68.1895,198.3353,224.7687,250.3271
2517.66313645,26502.545961,0.6957214, 68.1916,198.1017,224.6560,256.3490
2522.15009951,26502.069562,0.6960090, 68.2191,197.6957,224.4548,266.5947
2524.14477375,26501.943819,0.6962647, 68.2257,197.5105,224.3689,271.4763
2528.13423614,26502.026314,0.6966496, 68.2170,197.1259,224.1979,281.3299
2530.12912453,26502.049149,0.6967350, 68.2150,196.9354,224.1100,286.3722
2532.12281151,26502.030328,0.6968138, 68.2201,196.7492,224.0209,290.5319
2533.12008211,26501.990026,0.6968694, 68.2247,196.6573,223.9765,292.9131
2536.11205467,26501.843443,0.6971367, 68.2387,196.3812,223.8454,300.1327
2540.10335936,26501.542952,0.6975847, 68.2381,196.0007,223.6759,311.1319
2542.09825179,26501.337901,0.6977412, 68.2314,195.8066,223.5907,316.0581
2546.08789402,26500.400777,0.6979092, 68.2304,195.4268,223.4153,325.7547
2559.05286234,26554.198258,0.6996363, 68.2306,194.1769,222.8413,355.4882
2562.04612196,26442.700909,0.6986405, 68.2287,193.8843,222.7143,  3.1413
2565.03888919,26475.016329,0.6994603, 68.2290,193.5809,222.5447, 10.3562
2570.03296516,26512.562021,0.7002780, 68.2078,193.0781,222.3716, 26.6180
2576.01869723,26513.608523,0.7005944, 68.2080,192.5020,222.1190, 40.7157
2578.01546036,26513.732789,0.7008376, 68.2099,192.3102,222.0381, 46.4232
2582.00276294,26514.170779,0.7013149, 68.1850,191.9072,221.8799, 53.2342
2584.00013757,26514.253526,0.7014179, 68.1710,191.7044,221.7967, 59.3070
2586.98896714,26514.708749,0.7015304, 68.1666,191.4102,221.6687, 63.1237
2588.98408633,26514.996065,0.7016699, 68.1699,191.2177,221.5847, 67.4760
2596.97019428,26515.619050,0.7023807, 68.1347,190.4161,221.2620, 88.6730
2602.95733403,26516.204515,0.7025885, 68.1300,189.8275,221.0094,102.6261
2607.94699266,26516.469442,0.7031025, 68.1177,189.3293,220.8132,114.3687
2611.93881035,26516.343022,0.7032624, 68.0912,188.9183,220.6486,123.8339
2614.93259272,26516.506238,0.7033291, 68.0950,188.6242,220.5195,130.8626
2617.92791109,26516.604167,0.7035471, 68.1017,188.3319,220.3955,138.9673
2619.92392463,26516.542012,0.7037295, 68.0977,188.1317,220.3156,143.7373
2621.92062000,26516.389412,0.7038739, 68.0871,187.9274,220.2354,149.0099
2623.41804960,26516.292989,0.7039344, 68.0781,187.7737,220.1738,152.9083
2627.90994601,26516.031225,0.7039655, 68.0748,187.3265,219.9794,164.3580
2629.40737189,26516.024727,0.7040121, 68.0820,187.1825,219.9155,168.2664
2630.90485038,26515.952627,0.7041052, 68.0891,187.0382,219.8530,172.2097
2633.40065736,26515.759056,0.7043322, 68.0917,186.7917,219.7541,178.7924
2635.39732490,26515.484143,0.7044957, 68.0837,186.5877,219.6751,184.0956
2639.39098299,26514.943244,0.7045831, 68.0708,186.1811,219.5051,195.0284
2641.38777219,26514.726946,0.7046018, 68.0797,185.9870,219.4161,200.4942
2643.38448379,26514.485640,0.7046972, 68.0932,185.7958,219.3296,205.9073
2646.38011748,26514.031087,0.7049530, 68.1038,185.5027,219.2061,214.4556
2648.37718724,26513.700784,0.7051115, 68.1010,185.3014,219.1248,220.1717
2650.37427483,26513.371494,0.7052052, 68.0953,185.0984,219.0410,225.9372
2651.87215486,26513.155626,0.7052299, 68.0934,184.9477,218.9754,230.3323
2653.36995597,26512.861187,0.7052347, 68.0966,184.8003,218.9088,234.6879
2654.86783249,26512.607836,0.7052481, 68.1052,184.6561,218.8413,239.1103
2658.36299106,26511.768478,0.7054454, 68.1334,184.3238,218.6919,249.5403
2661.35893867,26511.074317,0.7057455, 68.1409,184.0275,218.5723,258.6029
