17.4,-0.7259,-0.061099,0.42319,0.53874
17.5,-0.72214,-0.064956,0.41164,0.55213
17.6,-0.71808,-0.0686,0.39998,0.56539
17.7,-0.71375,-0.07203,0.3882,0.57852
17.8,-0.70913,-0.075242,0.3763,0.5915
17.9,-0.70423,-0.078235,0.3643,0.60434
18,-0.69907,-0.081007,0.35219,0.61701
18.1,-0.69363,-0.083554,0.33998,0.62953
18.2,-0.68794,-0.085876,0.32768,0.64187
18.3,-0.68199,-0.08797,0.31528,0.65403
18.4,-0.67578,-0.089835,0.30279,0.66601
18.5,-0.66933,-0.091471,0.29021,0.6778
18.6,-0.66264,-0.092875,0.27755,0.68939
18.7,-0.65571,-0.094047,0.26482,0.70077
18.8,-0.64854,-0.094987,0.252,0.71194
18.9,-0.64116,-0.095693,0.23912,0.7229
19,-0.63355,-0.096165,0.22617,0.73363
19.1,-0.62573,-0.096404,0.21316,0.74413
19.2,-0.61771,-0.09641,0.20008,0.75439
19.3,-0.60948,-0.096182,0.18696,0.76442
19.4,-0.60106,-0.09572,0.17378,0.77419
19.5,-0.59244,-0.095027,0.16055,0.78371
19.6,-0.58365,-0.094102,0.14729,0.79297
19.7,-0.57467,-0.092947,0.13398,0.80197
19.8,-0.56553,-0.091562,0.12064,0.8107
19.9,-0.55622,-0.08995,0.10726,0.81916
20,-0.54676,-0.088111,0.093864,0.82734
20.1,-0.53714,-0.086047,0.080443,0.83523
20.2,-0.52738,-0.083761,0.067003,0.84283
20.3,-0.51748,-0.081254,0.053549,0.85015
20.4,-0.50745,-0.078528,0.040084,0.85716
20.5,-0.49729,-0.075586,0.026614,0.86388
20.6,-0.48701,-0.07243,0.013142,0.87029
20.7,-0.47663,-0.069064,-0.00032841,0.87639
20.8,-0.46614,-0.065489,-0.013792,0.88218
20.9,-0.45555,-0.06171,-0.027246,0.88765
21,-0.44486,-0.057728,-0.040685,0.89281
21.1,-0.4341,-0.053548,-0.054106,0.89764
21.2,-0.42325,-0.049172,-0.067505,0.90216
21.3,-0.41233,-0.044605,-0.080877,0.90634
21.4,-0.40135,-0.03985,-0.094219,0.9102
21.5,-0.3903,-0.034911,-0.10753,0.91372
21.6,-0.3792,-0.029791,-0.1208,0.91691
21.7,-0.36806,-0.024495,-0.13402,0.91977
21.8,-0.35688,-0.019027,-0.1472,0.92228
21.9,-0.34566,-0.013391,-0.16034,0.92446
22,-0.33441,-0.0075911,-0.17341,0.9263
22.1,-0.32315,-0.0016325,-0.18643,0.9278
22.2,-0.31187,0.0044807,-0.19939,0.92896
22.3,-0.30057,0.010744,-0.21229,0.92977
22.4,-0.28928,0.017152,-0.22511,0.93024
22.5,-0.27799,0.023701,-0.23787,0.93037
22.6,-0.2667,0.030386,-0.25054,0.93015
22.7,-0.25543,0.037201,-0.26314,0.92958
22.8,-0.24418,0.044141,-0.27566,0.92868
22.9,-0.23296,0.051203,-0.28808,0.92742
23,-0.22176,0.05838,-0.30042,0.92583
23.1,-0.21061,0.065668,-0.31267,0.92389
23.2,-0.19949,0.07306,-0.32481,0.92161
23.3,-0.18842,0.080553,-0.33686,0.91898
23.4,-0.1774,0.088141,-0.34881,0.91602
23.5,-0.16644,0.095818,-0.36064,0.91272
23.6,-0.15555,0.10358,-0.37237,0.90907
23.7,-0.14471,0.11142,-0.38399,0.9051
23.8,-0.13395,0.11933,-0.39548,0.90078
23.9,-0.12327,0.12731,-0.40686,0.89614
24,-0.11267,0.13536,-0.41812,0.89116
24.1,-0.10215,0.14346,-0.42925,0.88585
24.2,-0.091721,0.15161,-0.44025,0.88021
24.3,-0.081386,0.15981,-0.45112,0.87426
24.4,-0.071149,0.16805,-0.46186,0.86797
24.5,-0.061014,0.17633,-0.47246,0.86137
24.6,-0.050984,0.18464,-0.48293,0.85445
24.7,-0.041064,0.19297,-0.49324,0.84722
24.8,-0.031258,0.20132,-0.50342,0.83968
24.9,-0.021568,0.20969,-0.51345,0.83183
25,-0.011999,0.21806,-0.52332,0.82367
25.1,-0.0025531,0.22644,-0.53305,0.81522
25.2,0.0067653,0.23482,-0.54262,0.80646
25.3,0.015954,0.24319,-0.55203,0.79741
25.4,0.025008,0.25155,-0.56128,0.78807
25.5,0.033927,0.25989,-0.57037,0.77845
25.6,0.042706,0.26821,-0.5793,0.76854
25.7,0.051344,0.2765,-0.58806,0.75835
25.8,0.059836,0.28476,-0.59665,0.74789
25.9,0.068182,0.29299,-0.60507,0.73715
26,0.076378,0.30117,-0.61332,0.72615
26.1,0.084421,0.30931,-0.6214,0.71489
26.2,0.092311,0.31739,-0.62929,0.70337
26.3,0.10004,0.32542,-0.63701,0.6916
26.4,0.10762,0.33339,-0.64455,0.67958
26.5,0.11503,0.34129,-0.65191,0.66731
26.6,0.12228,0.34912,-0.65908,0.65481
26.7,0.12937,0.35688,-0.66607,0.64207
26.8,0.13629,0.36456,-0.67287,0.6291
26.9,0.14304,0.37216,-0.67948,0.61591
27,0.14963,0.37967,-0.6859,0.6025
